,Name,Gross,Release Date
0,Barbie,636.23,Jul 21
1,The Super Mario Bros. Movie,574.93,Apr 5
2,Spider-Man: Across the Spider-Verse,381.31,Jun 2
3,Guardians of the Galaxy Vol. 3,359.0,May 5
4,Oppenheimer,326.1,Jul 21
5,The Little Mermaid,298.17,May 26
6,Avatar: The Way of Water,684.08,Dec 16
7,Ant-Man and the Wasp: Quantumania,214.5,Feb 17
8,John Wick: Chapter 4,187.13,Mar 24
9,Sound of Freedom,184.18,Jul 4
10,Taylor Swift: The Eras Tour,179.65,Oct 13
11,Indiana Jones and the Dial of Destiny,174.48,Jun 30
12,Mission: Impossible - Dead Reckoning Part One,172.14,Jul 12
13,The Hunger Games: The Ballad of Songbirds & Snakes,161.16,Nov 17
14,Transformers: Rise of the Beasts,157.07,Jun 9
15,Creed III,156.25,Mar 3
16,Elemental,154.43,Jun 16
17,Fast X,146.13,May 19
18,Five Nights at Freddy's,137.28,Oct 27
19,Wonka,144.37,Dec 15
20,Puss in Boots: The Last Wish,186.09,Dec 21
21,Teenage Mutant Ninja Turtles: Mutant Mayhem,118.61,Aug 2
22,Scream VI,108.16,Mar 10
23,The Flash,108.13,Jun 16
24,Trolls Band Together,98.58,Nov 17
25,M3GAN,95.16,Jan 6
26,Dungeons & Dragons: Honor Among Thieves,93.28,Mar 31
27,The Equalizer 3,92.37,Sep 1
28,The Nun II,86.27,Sep 8
29,The Marvels,84.49,Nov 10
30,Meg 2: The Trench,82.6,Aug 4
31,Insidious: The Red Door,82.16,Jul 7
32,Aquaman and the Lost Kingdom,85.28,Dec 22
33,Blue Beetle,72.49,Aug 18
34,Haunted Mansion,67.65,Jul 28
35,Killers of the Flower Moon,67.31,Oct 20
36,Evil Dead Rise,67.23,Apr 21
37,The Exorcist: Believer,65.54,Oct 6
38,PAW Patrol: The Mighty Movie,65.23,Sep 29
39,Cocaine Bear,64.67,Feb 24
40,A Man Called Otto,64.27,Dec 30
41,Wish,61.35,Nov 22
42,Napoleon,60.76,Nov 22
43,Shazam! Fury of the Gods,57.64,Mar 17
44,Migration,62.96,Dec 22
45,Saw X,53.61,Sep 29
46,Air,52.46,Apr 5
47,Jesus Revolution,52.1,Feb 24
48,No Hard Feelings,50.45,Jun 23
49,Talk to Me,48.3,Jul 28
50,Godzilla Minus One,46.73,Dec 1
51,Gran Turismo,44.43,Aug 25
52,The Color Purple,48.12,Dec 25
53,The Boogeyman,43.24,Jun 2
54,A Haunting in Venice,42.47,Sep 15
55,The Creator,40.77,Sep 29
56,80 for Brady,39.33,Feb 3
57,The Boy and the Heron,36.55,Dec 8
58,Knock at the Cabin,35.4,Feb 3
59,Renaissance: A Film by Beyoncé,33.35,Dec 1
60,Missing,32.5,Jan 20
61,Plane,32.11,Jan 13
62,65,32.06,Mar 10
63,Thanksgiving,31.81,Nov 17
64,My Big Fat Greek Wedding 3,28.5,Sep 8
65,Asteroid City,28.15,Jun 16
66,Magic Mike's Last Dance,26.01,Feb 10
67,Anyone But You,30.07,Dec 22
68,Strays,23.99,Aug 18
69,The Boys in the Boat,25.78,Dec 25
70,Priscilla,20.86,Oct 27
71,"Are You There God? It's Me, Margaret.",20.37,Apr 28
72,The Pope's Exorcist,20.01,Apr 14
73,The Holdovers,18.29,Oct 27
74,The Blackening,17.71,Jun 16
75,Book Club: The Next Chapter,17.58,May 12
76,Pathaan,17.49,Jan 25
77,Black Panther: Wakanda Forever,453.83,Nov 11
78,Renfield,17.3,Apr 14
79,The Blind,17.27,Sep 28
80,The Covenant,16.94,Apr 21
81,Expend4bles,16.71,Sep 22
82,Champions,16.4,Mar 10
83,The Iron Claw,18.22,Dec 22
84,Ruby Gillman: Teenage Kraken,15.75,Jun 30
85,Jawan,15.2,Sep 7
86,Titanic,15.03,Feb 10
87,Dumb Money,13.93,Sep 15
88,Animal,13.65,Dec 1
89,The Last Voyage of the Demeter,13.64,Aug 11
90,Joy Ride,12.9,Jul 7
91,His Only Son,12.39,Mar 31
92,The Whale,17.46,Dec 9
93,About My Father,12.09,May 26
94,Bottoms,12.04,Aug 25
95,The Shift,11.99,Dec 1
96,After Death,11.48,Oct 27
97,Saltburn,11.29,Nov 17
98,Suzume,10.93,Apr 14
99,Past Lives,10.92,Jun 2
100,Ferrari,12.49,Dec 25
101,The Machine,10.46,May 26
102,Whitney Houston: I Wanna Dance with Somebody,23.71,Dec 23
103,Poor Things,11.43,Dec 8
104,The Nightmare Before Christmas,10.25,Oct 20
105,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,10.12,Mar 3
106,House Party,9.0,Jan 13
107,Radical,8.65,Nov 3
108,Everything Everywhere All at Once,77.19,Mar 25
109,Salaar,8.45,Dec 22
110,Silent Night,8.01,Dec 1
111,Beau Is Afraid,8.18,Apr 14
112,The Hill,7.67,Aug 25
113,Sisu,7.27,Apr 28
114,Star Wars: Episode VI - Return of the Jedi,7.26,Apr 28
115,Dunki,7.46,Dec 21
116,Coraline,7.15,Aug 14
117,Retribution,6.94,Aug 25
118,Journey to Bethlehem,6.82,Nov 10
119,Next Goal Wins,6.71,Nov 17
120,Operation Fortune: Ruse de Guerre,6.5,Mar 3
121,BTS: Yet to Come in Cinemas,8.09,Feb 1
